variable_name,limesurvey_export_name,codebook_name_if_applicable,classification,keep_drop_decision,reason,manual_review_needed,question_type,codebook_label,codebook_type,codebook_scale,crosswalk_match_type,question_text,subquestion_text
interviewtime,interviewtime,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
Bew1,Bew1,Bew1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,!,Self-reported number of days per week with vigorous physical activity.,numeric,physical activity behavior,question_code,"An wie vielen Tagen pro Woche verrichtest du anstrengende körperliche Aktivitäten? Anstrengende Aktivität lässt das Herz schnell schlagen und bringt dich ins Schwitzen. Beispiele sind: schnelles Joggen, schnelles Radfahren, Rollschuhfahren, schnelles Schwimmen, Fussball, Basketball.",
Bew2,Bew2,Bew2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,N,Self-reported minutes per day spent in vigorous physical activity.,numeric,physical activity behavior,question_code,Wie viele Minuten pro Tag verbringst du mit anstrengenden körperlichen Aktivitäten?,
Bew3,Bew3,Bew3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,!,Self-reported number of days per week with moderate physical activity.,numeric,physical activity behavior,question_code,"An wie vielen Tagen pro Woche verrichtest du moderate körperliche Aktivitäten? Moderate Aktivität ist ein bisschen anstrengend, verursacht leicht erhöhtes Herzklopfen und bringt dich ein wenig ins Schwitzen. Beispiele sind: schnelles Gehen, langsames Radfahren, leichtes Schwimmen, Tennis, Tanzen, Vo",
Bew4,Bew4,Bew4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,N,Self-reported minutes per day spent in moderate physical activity.,numeric,physical activity behavior,question_code,Wie viele Minuten pro Tag verbringst du mit moderaten körperlichen Aktivitäten?,
Bew5,Bew5,Bew5,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,!,Self-reported number of days per week with light physical activity.,numeric,physical activity behavior,question_code,"An wie vielen Tagen pro Woche verrichtest du leichte körperliche Aktivitäten? Leichte Aktivität ist wenig anstrengend, dein Herz schlägt normal und die Aktivität bringt dich nicht ins Schwitzen. Beispiele sind: langsames Gehen, Bowling, Angeln, Golf, Yoga.",
Bew6,Bew6,Bew6,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,N,Self-reported minutes per day spent in light physical activity.,numeric,physical activity behavior,question_code,Wie viele Minuten pro Tag verbringst du mit leichten körperlichen Aktivitäten?,
eMailIG,eMailIG,eMailIG,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,S,Email address for follow-up communication in the Phase-A-first pathway.,text,contact information,question_code,"Wie lautet deine E-Mail Adresse, um dir die Details zum weiteren Studienablauf senden zu können?",
STG,STG,STG,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,L,Stage of change regarding regular physical activity.,ordinal,stage of change,question_code,"Bei der nächsten Frage geht es um regelmässige körperliche Aktivität. Regelmässige körperliche Aktivität bedeutet: - Mindestens 150 Minuten Bewegung pro Woche. - Die Intensität sollte mindestens so hoch sein, dass dein Herz leicht erhöht klopft und du ein wenig schwitzt z.B. schnelles Gehen, Radfahr",
Name,Name,Name,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,S,Preferred name or nickname for follow-up communication.,text,contact information,question_code,"Wie sollen wir dich in der E-Mail und im weiteren Verlauf der Studie ansprechen? Bitte beachte: Der hier gewählte Name wird für jegliche Kommunkation innerhalb der Studie verwendent (d. h. Ansprache in E-Mails sowie in der App). Es wird auch dein Profilname in der Coaching-App. Das bedeutet, dass di",
eMailValidIG,eMailValidIG,eMailValidIG,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,S,Confirmation of the email address in the Phase-A-first pathway.,text,contact information,question_code,Bitte bestätige die angegebene E-Mail Adresse.,
Intention1,Intention1[Int1],Intention1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Intention to be physically active on most days during the coming week.,ordinal,intention,single-subquestion-parent-code,,"Ich habe die Absicht, die meisten Tage in der kommenden Woche körperlich aktiv zu sein."
Intention2,Intention2[Int2],Intention2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Intended effort to be physically active on most days during the coming week.,ordinal,intention,single-subquestion-parent-code,,"Ich werde versuchen, die meisten Tage in der kommenden Woche körperlich aktiv zu sein."
Intention3,Intention3[Int3],Intention3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Plan to be physically active on most days during the coming week.,ordinal,intention,single-subquestion-parent-code,,"Ich plane, die meisten Tage in der kommenden Woche körperlich aktiv zu sein."
Att1,Att1[Att1],Att1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Evaluation of being physically active during the coming week as harmful versus beneficial.,ordinal,attitude toward behavior,subquestion_code,,Für mich ist körperliche Aktivität in der kommenden Woche...
Att2,Att2[Att2],Att2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Evaluation of being physically active during the coming week as unpleasant versus pleasant.,ordinal,attitude toward behavior,subquestion_code,,Für mich ist körperliche Aktivität in der kommenden Woche...
Att3,Att3[Att3],Att3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Evaluation of being physically active during the coming week as bad versus good.,ordinal,attitude toward behavior,subquestion_code,,Für mich ist körperliche Aktivität in der kommenden Woche...
Att4,Att4[Att4],Att4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Evaluation of being physically active during the coming week as useless versus valuable.,ordinal,attitude toward behavior,subquestion_code,,Für mich ist körperliche Aktivität in der kommenden Woche...
Att5,Att5[Att5],Att5,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Evaluation of being physically active during the coming week as unenjoyable versus enjoyable.,ordinal,attitude toward behavior,subquestion_code,,Für mich ist körperliche Aktivität in der kommenden Woche...
Norm1,Norm1[Norm1],Norm1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that important others think the participant should be physically active on most days during the coming week.,ordinal,injunctive norm,subquestion_code,,"Die meisten Menschen, die mir wichtig sind, denken, dass ich die meisten Tage in der kommenden Woche ..."
Norm2,Norm2[Norm2],Norm2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that regular physical activity on most days during the coming week is expected from the participant.,ordinal,injunctive norm,subquestion_code,,"Es wird von mir erwartet, dass ich die meisten Tage in der kommenden Woche körperlich aktiv bin."
Norm3,Norm3[Norm3],Norm3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that valued others would support the participant in being physically active on most days during the coming week.,ordinal,injunctive norm,subquestion_code,,"Die Menschen in meinem Leben, deren Meinung mir wichtig ist, würden meine körperliche Aktivität in der kommenden Woche..."
Norm4,Norm4[Norm4],Norm4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that most important others are physically active on many days.,ordinal,descriptive norm,subquestion_code,,"Die meisten Menschen, die mir wichtig sind, sind an vielen Tagen körperlich aktiv."
Norm5,Norm5[Norm5],Norm5,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that valued others are physically active on many days.,ordinal,descriptive norm,subquestion_code,,"Die Menschen in meinem Leben, deren Meinung ich schätze, sind an vielen Tagen..."
Norm6,Norm6[Norm6],Norm6,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that many similar others are physically active on many days.,ordinal,descriptive norm,subquestion_code,,"Viele Menschen, die wie ich sind, sind an vielen Tagen körperlich aktiv."
Control1,Control1[Con1],Control1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perceived possibility of being physically active on many days during the coming week.,ordinal,perceived behavioral control - capability,single-subquestion-parent-code,,"Für mich wäre es möglich, an vielen Tagen in der kommenden Woche körperlich aktiv zu sein."
Control2,Control2[Con2],Control2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perceived feasibility of being physically active on many days during the coming week if desired.,ordinal,perceived behavioral control - capability,single-subquestion-parent-code,,"Wenn ich wollte, könnte ich an vielen Tagen in der kommenden Woche körperlich aktiv sein."
Control3,Control3[Con3],Control3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perceived amount of control over being physically active on many days during the coming week.,ordinal,perceived behavioral control - controllability,single-subquestion-parent-code,,"Wie viel Kontrolle glaubst du darüber zu haben, an vielen Tagen in der kommenden Woche körperlich aktiv zu sein?"
Control4,Control4[Con4],Control4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that being physically active on many days during the coming week mainly depends on oneself.,ordinal,perceived behavioral control - controllability,single-subquestion-parent-code,,"Es liegt hauptsächlich an mir, ob ich an vielen Tagen in der kommenden Woche körperlich aktiv bin."
IntVer1,KIM[IntVer1],IntVer1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Physical activity is enjoyable to the participant.,ordinal,interest/enjoyment,subquestion_code,,Bewegungs- und Sportaktivitäten machen mir Freude.
IntVer2,KIM[IntVer2],IntVer2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Physical activity is very interesting to the participant.,ordinal,interest/enjoyment,subquestion_code,,Ich finde Bewegungs- und Sportaktivitäten sehr interessant.
IntVer3,KIM[IntVer3],IntVer3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Physical activity is entertaining to the participant.,ordinal,interest/enjoyment,subquestion_code,,Bewegungs- und Sportaktivitäten sind unterhaltsam.
wKomp1,KIM[wKomp1],wKomp1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant is generally satisfied with their performance in physical activity.,ordinal,perceived competence,subquestion_code,,Mit meinen Leistungen bei meinen Bewegungs- und Sportaktivitäten bin ich generell zufrieden.
wKomp2,KIM[wKomp2],wKomp2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant perceives themself as skillful in physical activity.,ordinal,perceived competence,subquestion_code,,Bei Bewegungs- und Sportaktivitäten stelle ich mich geschickt an.
wKomp3,KIM[wKomp3],wKomp3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant believes they are quite good across different physical activities.,ordinal,perceived competence,subquestion_code,,"Ich glaube, ich bin in verschiedensten Bewegungs- und Sportaktivitäten ziemlich gut."
wWahl1,KIM[wWahl1],wWahl1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant feels able to self-direct their physical activity.,ordinal,perceived choice,subquestion_code,,Ich kann meine Bewegungs- und Sportaktivitäten selbst steuern.
wWahl2,KIM[wWahl2],wWahl2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant can choose how to engage in their physical activity.,ordinal,perceived choice,subquestion_code,,"Bei meinen Bewegungs- und Sportaktivitäten kann ich wählen, wie ich es mache."
wWahl3,KIM[wWahl3],wWahl3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant can proceed in physical activity in the way they want.,ordinal,perceived choice,subquestion_code,,"Bei meiner Bewegungs- und Sportaktivitäten kann ich so vorgehen, wie ich es will."
DrAn1,KIM[DrAn1],DrAn1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant feels under pressure when performing physical activity.,ordinal,pressure/tension,subquestion_code,,Beim Ausführen meiner Bewegungs- und Sportaktivitäten fühle ich mich unter Druck.
DrAn2,KIM[DrAn2],DrAn2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant feels tense when performing physical activity.,ordinal,pressure/tension,subquestion_code,,Beim Ausführen meiner Bewegungs- und Sportaktivitäten fühle ich mich angespannt.
DrAn3,KIM[DrAn3],DrAn3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,The participant is concerned about generally not doing well in physical activity.,ordinal,pressure/tension,subquestion_code,,"Ich habe Bedenken, ob ich Bewegungs- und Sportaktivitäten generell gut hinbekomme."
ACheck2,KIM[ACheck2],ACheck2,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,F,Attention check item instructing the respondent to select response category 3.,ordinal,attention check,subquestion_code,,"Wenn du diese Aussage aufmerksam liest, dann wähle bitte den Wert '3 - stimmt ziemlich'."
Wohn,Wohn,Wohn,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,L,Current country of residence.,categorical,demographics,question_code,In welchem Land lebst du derzeit?,
Ethn_Am,Ethn[Am],Ethn_Am,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of an American ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,"Amerikanisch (z. B. Nord-, Mittel-, Südamerika)"
Ethn_As,Ethn[As],Ethn_As,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of an Asian ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,"Asiatisch (z. B. Nord-, Ost-, Süd-, West-, Zentralasien)"
Ethn_Eu,Ethn[Eu],Ethn_Eu,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of a European ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,"Europäisch (z. B. Nord-, Ost-, Süd-, West-, Mitteleuropa)"
Ethn_Af,Ethn[Af],Ethn_Af,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of an African ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,"Afrikanisch (z. B. Nord-, Ost-, Süd-, West-, Zentralafrika)"
Ethn_AuNe,Ethn[AuNe],Ethn_AuNe,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of an Australian or New Zealand ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,Australisch oder Neuseeländisch
Ethn_LaAa,Ethn[LaAa],Ethn_LaAa,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of a Latin American or African American ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,Lateinamerikanisch oder Afroamerikanisch
Ethn_Noe,Ethn[Noe],Ethn_Noe,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of a Middle Eastern ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,"Nahöstlich (z. B. arabisch, kurdisch, persisch)"
Ethn_In,Ethn[In],Ethn_In,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,P,Selection of an Indigenous ethnic or cultural affiliation.,logical,demographics,parent_sub_prefix,Wie würdest du deine ethnische Herkunft oder kulturelle Zugehörigkeit beschreiben? Bitte spezifiere die Herkunft/Zugehörigkeit im Kommentarfeld.,"Indigen (z. B. Maori, Aborigini, Inuit, Native American)"
Geb,Geb,Geb,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,D,Date of birth of the participant.,date,demographics,question_code,Wann bist du geboren?,
discat1,ZiMo[discat1],discat1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to reduce anger and irritability.,ordinal,distraction/catharsis,subquestion_code,,Um Ärger und Gereiztheit abzubauen.
discat2,ZiMo[discat2],discat2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to distract oneself from other problems.,ordinal,distraction/catharsis,subquestion_code,,Weil ich mich so von anderen Problemen ablenke.
discat3,ZiMo[discat3],discat3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to reduce stress.,ordinal,distraction/catharsis,subquestion_code,,Um Stress abzubauen.
discat4,ZiMo[discat4],discat4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to sort out one’s thoughts.,ordinal,distraction/catharsis,subquestion_code,,Um meine Gedanken im Kopf zu ordnen.
fit1,ZiMo[fit1],fit1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to remain in good physical condition.,ordinal,fitness,subquestion_code,,Um mich in körperlich guter Verfassung zu halten.
fit2,ZiMo[fit2],fit2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: mainly to stay fit.,ordinal,fitness,subquestion_code,,"Vor allem, um fit zu sein."
fit3,ZiMo[fit3],fit3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: mainly to do something for physical fitness.,ordinal,fitness,subquestion_code,,"Vor allem, um etwas für meine körperliche Fitness zu tun."
heal1,ZiMo[heal1],heal1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: mainly for health reasons.,ordinal,health,subquestion_code,,Vor allem aus gesundheitlichen Gründen.
heal2,ZiMo[heal2],heal2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: mainly to improve health status.,ordinal,health,subquestion_code,,"Vor allem, um meinen Gesundheitszustand zu verbessern."
heal3,ZiMo[heal3],heal3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to counteract physical complaints.,ordinal,health,subquestion_code,,Um körperlichen Beschwerden entgegenzuwirken.
comper1,ZiMo[comper1],comper1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: because one thrives in competition.,ordinal,competition/performance,subquestion_code,,Weil ich im Wettkampf aufblühe.
comper2,ZiMo[comper2],comper2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to compete with others.,ordinal,competition/performance,subquestion_code,,Um mich mit anderen zu messen.
comper3,ZiMo[comper3],comper3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Reason for being physically active: to achieve athletic goals.,ordinal,competition/performance,subquestion_code,,Um sportliche Ziele zu erreichen.
