variable_name,limesurvey_export_name,classification,keep_drop_decision,reason,manual_review_needed,codebook_label,codebook_scale
Att3,Att3[Att3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Evaluation of being physically active during the coming week as bad versus good.,attitude toward behavior
Att4,Att4[Att4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Evaluation of being physically active during the coming week as useless versus valuable.,attitude toward behavior
Att5,Att5[Att5],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Evaluation of being physically active during the coming week as unenjoyable versus enjoyable.,attitude toward behavior
Norm1,Norm1[Norm1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that important others think the participant should be physically active on most days during the coming week.,injunctive norm
Norm2,Norm2[Norm2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that regular physical activity on most days during the coming week is expected from the participant.,injunctive norm
Norm3,Norm3[Norm3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that valued others would support the participant in being physically active on most days during the coming week.,injunctive norm
Norm4,Norm4[Norm4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that most important others are physically active on many days.,descriptive norm
Norm5,Norm5[Norm5],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that valued others are physically active on many days.,descriptive norm
Norm6,Norm6[Norm6],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that many similar others are physically active on many days.,descriptive norm
Control1,Control1[Con1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived possibility of being physically active on many days during the coming week.,perceived behavioral control - capability
Control2,Control2[Con2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived feasibility of being physically active on many days during the coming week if desired.,perceived behavioral control - capability
Control3,Control3[Con3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived amount of control over being physically active on many days during the coming week.,perceived behavioral control - controllability
Control4,Control4[Con4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that being physically active on many days during the coming week mainly depends on oneself.,perceived behavioral control - controllability
IntVer1,KIM[IntVer1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Physical activity is enjoyable to the participant.,interest/enjoyment
IntVer2,KIM[IntVer2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Physical activity is very interesting to the participant.,interest/enjoyment
IntVer3,KIM[IntVer3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Physical activity is entertaining to the participant.,interest/enjoyment
wKomp1,KIM[wKomp1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant is generally satisfied with their performance in physical activity.,perceived competence
wKomp2,KIM[wKomp2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant perceives themself as skillful in physical activity.,perceived competence
wKomp3,KIM[wKomp3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant believes they are quite good across different physical activities.,perceived competence
wWahl1,KIM[wWahl1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant feels able to self-direct their physical activity.,perceived choice
wWahl2,KIM[wWahl2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant can choose how to engage in their physical activity.,perceived choice
wWahl3,KIM[wWahl3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant can proceed in physical activity in the way they want.,perceived choice
DrAn1,KIM[DrAn1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant feels under pressure when performing physical activity.,pressure/tension
DrAn2,KIM[DrAn2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant feels tense when performing physical activity.,pressure/tension
DrAn3,KIM[DrAn3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,The participant is concerned about generally not doing well in physical activity.,pressure/tension
discat1,ZiMo[discat1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to reduce anger and irritability.,distraction/catharsis
discat2,ZiMo[discat2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to distract oneself from other problems.,distraction/catharsis
discat3,ZiMo[discat3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to reduce stress.,distraction/catharsis
discat4,ZiMo[discat4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to sort out one’s thoughts.,distraction/catharsis
fit1,ZiMo[fit1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to remain in good physical condition.,fitness
fit2,ZiMo[fit2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: mainly to stay fit.,fitness
fit3,ZiMo[fit3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: mainly to do something for physical fitness.,fitness
heal1,ZiMo[heal1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: mainly for health reasons.,health
heal2,ZiMo[heal2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: mainly to improve health status.,health
heal3,ZiMo[heal3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to counteract physical complaints.,health
comper1,ZiMo[comper1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: because one thrives in competition.,competition/performance
comper2,ZiMo[comper2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to compete with others.,competition/performance
comper3,ZiMo[comper3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to achieve athletic goals.,competition/performance
aes1,ZiMo[aes1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: because the beauty of human movement in sport is enjoyable.,aesthetics
aes2,ZiMo[aes2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: because sport offers the possibility of beautiful movement.,aesthetics
con1,ZiMo[con1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to socialize with others.,contact
con2,ZiMo[con2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to do something in a group.,contact
con3,ZiMo[con3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to meet friends or acquaintances.,contact
con4,ZiMo[con4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to get to know other people.,contact
con5,ZiMo[con5],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to make new friends through sport.,contact
figapp1,ZiMo[figapp1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to lose weight.,appearance
figapp2,ZiMo[figapp2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to regulate body weight.,appearance
figapp3,ZiMo[figapp3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: because of one’s figure or appearance.,appearance
discat5,ZiMo[discat5],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to relax.,distraction/catharsis
enjoy1,ZiMo[enjoy1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to recharge one's batteries.,activation/joy
enjoy2,ZiMo[enjoy2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: primarily for the joy of movement.,activation/joy
enjoy3,ZiMo[enjoy3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: because of the thrill.,activation/joy
risk1,ZiMo[risk1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to take a risk.,risk/challenge
risk2,ZiMo[risk2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: because risky situations are appealing.,risk/challenge
risk3,ZiMo[risk3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Reason for being physically active: to test one’s courage.,risk/challenge
WA1,TAM[WA1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Overall visual attractiveness of the app.,app aesthetics
WA2,TAM[WA2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Attractiveness of the app layout.,app aesthetics
WA3,TAM[WA3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Appeal of the colors used in the app.,app aesthetics
WN1,TAM[WN1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived usefulness of the app for improving knowledge about physical activity.,perceived usefulness
WN2,TAM[WN2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived usefulness of the app for more efficient information search about physical activity.,perceived usefulness
WN3,TAM[WN3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived usefulness of the app for more productive information search about physical activity.,perceived usefulness
WN4,TAM[WN4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived usefulness of the app for finding information about physical activity.,perceived usefulness
WB1,TAM[WB1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived ease of using the app.,perceived ease of use
WB2,TAM[WB2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived ease of learning how to use the app.,perceived ease of use
WB3,TAM[WB3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived clarity and comprehensibility of interaction with the app.,perceived ease of use
WB4,TAM[WB4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived intuitiveness of using the app.,perceived ease of use
WF1,TAM[WF1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that using the app is entertaining.,app enjoyment
WF2,TAM[WF2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that using the app is enjoyable.,app enjoyment
WF3,TAM[WF3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that using the app is interesting.,app enjoyment
WF4,TAM[WF4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that using the app is pleasurable.,app enjoyment
WV1,TAM[WV1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perceived credibility of the information provided by the app.,app trust
WV2,TAM[WV2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that the app is honest and reliable.,app trust
WV3,TAM[WV3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that the app can be trusted completely.,app trust
WV4,TAM[WV4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Perception that the app keeps its promises.,app trust
NI1,TAM[NI1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Intention to use the app regularly in the future.,future usage intention
NI2,TAM[NI2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Intention to use the app frequently in the future.,future usage intention
NI3,TAM[NI3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Intention to use the app if access to a smartphone is available.,future usage intention
NI4,TAM[NI4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Expected future use of the app if access to a smartphone is available.,future usage intention
AppUseDays,AppUseDays,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Average number of days per week the relevant app or device was used during the previous 12 weeks.,app use
AppUseStudy,AppUseStudy,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Use of the study-relevant app or device during the previous 12 weeks.,app use
timePoint,timePoint,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Measurement time point of survey administration.,technical / wave control
studyGroup,studyGroup,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Study group allocation indicating the order of study phases.,technical / group allocation
AppUseGeneral,AppUseGeneral,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Previous use of apps or wearable devices to promote physical activity.,prior app use
MotivComp4,MotivComp[MotivComp4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Ease of judging what characterizes different physical activities.,motivational competence
MotivComp3,MotivComp[MotivComp3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Clarity about what matters personally in a physical activity so that it is enjoyable.,motivational competence
MotivComp2,MotivComp[MotivComp2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Ability to recognize whether a physical activity is a good personal fit.,motivational competence
MotivComp1,MotivComp[MotivComp1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Ability to choose a suitable physical activity from a variety of options.,motivational competence
VolSelf3,VolSelf[VolSelf3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Discipline in implementing one’s intention to become more physically active.,volitional self-control
VolSelf2,VolSelf[VolSelf2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Tendency to keep one’s intention to be active in mind and not be easily distracted from it.,volitional self-control
VolSelf1,VolSelf[VolSelf1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Tendency to carry out a planned physical activity.,volitional self-control
ActionPlan3,ActionPlan[ActionPlan3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Plan for on which days of the week physical activity will be performed during the next two weeks.,action planning
ActionPlan1,ActionPlan[ActionPlan1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Plan for which type of physical activity will be performed during the next two weeks.,action planning
ActionPlan2,ActionPlan[ActionPlan2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Plan for where physical activity will be performed during the next two weeks.,action planning
ActionPlan4,ActionPlan[ActionPlan4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Plan for how long physical activity will be performed during the next two weeks.,action planning
